qid	query	title	description	narrative
781ce9d684cf75f39303e94af5013c41	detecting phishing nlp	NLP on Phishing Detection	How can we detect phishing with the help of NLP and which techniques are available to make that possible?	Pertinent documents must include details about the use of NLP techniques and methods for detecting phishing attempts. Relevant details include specific and proven approaches of NLP applied to phishing detection(such as text classification, feature extraction), datasets used for training and evaluation, the accuracy and effectiveness of their outcomes, real world use-cases of the application of NLP tools and hybrid approaches on identifying phishing in emails, URLs or messages.
8563a9d294a5cbb4e837f30028ce6a6d	renewable energy	Renewable Energy Effectiveness	What research focuses on how efficient and effective renewable energy is?	Relevant papers include research on the efficacy and effectiveness of renewable energy such as hydro, solar, biomass, geothermal, wind energy . Papers about fossil fuels or general energy policy papers without focus on renewable sources are not relevant. 
8cc85d9d1d5424fb44a6e3c22ecc8a12	fashion design	fashion design	How is fashion design taught, practiced, developed, and applied in clothing design?	Relevant documents should focus on fashion design as a creative, educational, or practical process, including design methods, styling, sustainability, and clothing development. Documents about fashion business, sales, marketing, or general clothing trends without a clear design focus are not relevant.
93552e2eb156f5c55161c41a17f2a01a	academic pressure	Pressue in Academia	How does Academic Pressure affect people?	Relevant documents should discribe the effects of academic pressure in any form. They should show where academic pressure comes from, how it affects the people and how they might deal with these effects. 
a17857d1a641623051cc8b231abd516b	deep learning	Deep Learning Architecture	How does deep learning work in terms of architecture, training methods and applications in real world?	Relevant papers include research on neural network architectures such as CNNs,RNNs and transformers, training methods such as optimisation techniques and papers applying deep learning to solve a problem in real world such as speech recognition or computer vision. Papers that only focus on general machine learning without technical content or traditional ML methods without deep learning are not relevant. 
a64aae27da8e92c91015c275eb443a14	stress students academic productivity	Student Stress Productivity	How stress influences the productivity among students on academic level?	Pertinent documents must include information about the relationship between stress and academic productivity in students. Important details must include the types of stress and their influence on students(exam pressure, deadlines), researches or papers on measuring productivity under stress conditions, the central institutional role on supporting students, also how students have developed strategies on how to manage stress.
a8a463fe5c77781ae586810949bc43b4	tiktok influencer strategies	Viral Content Strategies	Which content approaches are used by influencers to grow audiences, go viral and build personal brands on TikTok?	Relevant documents must include details of the strategies successful TikTok influencers use to expand their reach and sell products for collaborating brands. Relevant details include information about content trends, algorithm optimization, short-form storytelling, hashtag usage, music remix as well as the overwhelming rush of video effects that contribute to influencer growth on Tiktok. Besides this topic describes the “anything for content” mindset leading to negative, toxic and low-value content. 
c0837308bd8bdd88372e59d7fbcdd79a	social media and mental health positive	Social Media Positive Effects	How does social media impact the users’ mental health positively?	Applicable documents must include Information about the linking bridge between social media usage and its positive impact on mental health. Relevant details include the social media behavior of users among different ages and their enforcement of social connections and reducing isolations, typical tools which promote wellbeing, also studies about positive psychological behavior from social media usage. 
c3d39be1a3633d49008261165f6058b6	employees mental health	employees mental health	How do employees mental health changes over time and what poses a risk to it?	Relevant documents must include factors improving and affecting employees mental health. Relevant details must include different timelines and how employee mental health has changed over the period and what the future looks like. Relevant documents also include what steps should be taken in order to improve it and what actually poses a risk to employees mental health.
cf0a23a14082d55d74fad12e78a868e6	biobattery using banana peels	biobattery using banana peels	find documents that help me understand how to use banana peel to electrical generate power 	a relevant document must contain information about how to use banana peels to create a electrical power source. documents containing instructions or analysis about using specifically banana peels as power source are higly relevant, ones that contain information about using other plants are partially relevant. documents only talking about batteries or banans are mildly relevant.
d2af595f032a1958c62ceea6b1545833	nostalgia marketing	Nostalgia marketing	How is nostalgia used for marketing a product and what goal is achievable with it.	A relevant document contains information on how a company is using old and succesful products to profit in the present. It does not need to explain what nostalgia in general is, but how XY product affected customers in the past. The intention of the company needs to be clear and what steps they want to take to make profit off the new (old) product. How it affects current products and sales can be relevant too. Some examples may help to decide what is relevant and what is not.  
d49230534d6a85b88426fb74707a9cbb	psychedelics in psychiatry	psychedelics in psychiatry	How can psychedelics  be used in psychiatry. Are there any such studies that shows its benefits or harms.	Documents that contain details and results (benefits or harms) of using psychedelics for psychiatry. Irrelevant documents are those that are about either psychedelics (e.g. recreational use) or just about psychiatry or about none of these topics.
d6e9712bf4d78dc25582d46273456358	fake news	Fake News Detection	Which scientific articles focus on the detection of fake news and the identification of disinformation in digital media?	Relevant papers include research on methods to detect fake news or disinformation in online platforms, social media or any kind of digital communication tools. Relevant approaches include machine learning, user behavior analysis, natural language processing and algorithmic detection methods. Papers that discuss only the social impact of fake news without discussing detection methods are not relevant. 
d7121387aa077f9d346a6b5a0378e5c6	procrastination among students	Student procrastionation	How can students deal with procrastionation and why does it happen in the first place?	Relevant documents must include information about why students procrastinate and how this problem can be fixed. This can include aspects like academic pressure, low motivation, or other common challenges students face. Relevant documents should also mention strategies, tips, or methods to overcome procrastination.
e9e12c23dcae83b144aecbcdf7183159	raspberry pi	Raspberry Pi	What is a Raspberry Pi and in what fields is it used?	Relevant documents include general information regarding software and hardware about the Raspberry Pi as a technology.  Relevant details must include practical information about the definition, usage and importance of a Raspberry Pi in given field of study (e.g. robotics, automation, digitalization) and the produced outcomes/ benefits.
